Date,Yearly
2000-01-01,0.029615732
2000-02-01,0.08677139
2000-03-01,0.10715067
2000-04-01,0.10024699
2000-05-01,0.05209737
2000-06-01,-3.6181664e-05
2000-07-01,-0.04991545
2000-08-01,-0.08555882
2000-09-01,-0.09424677
2000-10-01,-0.078896314
2000-11-01,-0.02827217
2000-12-01,0.035784148
2001-01-01,0.094953254
2001-02-01,0.13127914
2001-03-01,0.11588126
2001-04-01,0.06350519
2001-05-01,-0.02375564
2001-06-01,-0.108864374
2001-07-01,-0.17051809
2001-08-01,-0.19847009
2001-09-01,-0.17342018
2001-10-01,-0.111597784
2001-11-01,-0.0038441422
2001-12-01,0.112463035
2002-01-01,0.20924956
2002-02-01,0.2694339
2002-03-01,0.2556783
2002-04-01,0.18994504
2002-05-01,0.071521066
2002-06-01,-0.056135975
2002-07-01,-0.16512658
2002-08-01,-0.24135917
2002-09-01,-0.26468563
2002-10-01,-0.23814271
2002-11-01,-0.15172853
2002-12-01,-0.033526108
2003-01-01,0.08358588
2003-02-01,0.18228276
2003-03-01,0.22264844
2003-04-01,0.21396215
2003-05-01,0.14828795
2003-06-01,0.0630863
2003-07-01,-0.025281964
2003-08-01,-0.105180085
2003-09-01,-0.15203544
2003-10-01,-0.16016196
2003-11-01,-0.121159844
2003-12-01,-0.050936013
2004-01-01,0.026578749
2004-02-01,0.09903355
2004-03-01,0.12613961
2004-04-01,0.122877814
2004-05-01,0.073173515
2004-06-01,0.0083008325
2004-07-01,-0.0494114
2004-08-01,-0.09829488
2004-09-01,-0.12134015
2004-10-01,-0.11369259
2004-11-01,-0.06693645
2004-12-01,0.000119562035
2005-01-01,0.06547329
2005-02-01,0.1192413
2005-03-01,0.13323648
2005-04-01,0.1133094
2005-05-01,0.06002149
2005-06-01,-0.002449926
2005-07-01,-0.05833132
2005-08-01,-0.1017536
2005-09-01,-0.11965423
2005-10-01,-0.11024189
2005-11-01,-0.07378198
2005-12-01,-0.012250424
2006-01-01,0.044594448
2006-02-01,0.095294334
2006-03-01,0.11227955
2006-04-01,0.10066277
2006-05-01,0.060302828
2006-06-01,0.010960937
2006-07-01,-0.031828932
2006-08-01,-0.06780865
2006-09-01,-0.08847889
2006-10-01,-0.08731961
2006-11-01,-0.061461158
2006-12-01,-0.012432561
2007-01-01,0.03518866
2007-02-01,0.077031456
2007-03-01,0.08579454
2007-04-01,0.06543556
2007-05-01,0.024946082
2007-06-01,-0.021659547
2007-07-01,-0.06320918
2007-08-01,-0.088623315
2007-09-01,-0.09488401
2007-10-01,-0.069721416
2007-11-01,-0.014793905
2007-12-01,0.056446705
2008-01-01,0.12607819
2008-02-01,0.1726051
2008-03-01,0.16888663
2008-04-01,0.12169043
2008-05-01,0.027188335
2008-06-01,-0.075483546
2008-07-01,-0.17102131
2008-08-01,-0.23507729
2008-09-01,-0.25733826
2008-10-01,-0.22531328
2008-11-01,-0.13331574
2008-12-01,-0.0074394317
2009-01-01,0.12363755
2009-02-01,0.22979619
2009-03-01,0.2727001
2009-04-01,0.24716026
2009-05-01,0.15618223
2009-06-01,0.047402818
2009-07-01,-0.06450481
2009-08-01,-0.15378839
2009-09-01,-0.19675449
2009-10-01,-0.18815506
2009-11-01,-0.12524725
2009-12-01,-0.032809798
2010-01-01,0.066405624
2010-02-01,0.14370953
2010-03-01,0.16392006
2010-04-01,0.14392664
2010-05-01,0.07567374
2010-06-01,0.00036802952
2010-07-01,-0.066484146
2010-08-01,-0.11270025
2010-09-01,-0.13332392
2010-10-01,-0.12741236
2010-11-01,-0.08678649
2010-12-01,-0.026468458
2011-01-01,0.030590447
2011-02-01,0.082746714
2011-03-01,0.10349622
2011-04-01,0.10107825
2011-05-01,0.07399047
2011-06-01,0.042135444
2011-07-01,0.011790779
2011-08-01,-0.020653602
2011-09-01,-0.04847073
2011-10-01,-0.06927115
2011-11-01,-0.07076795
2011-12-01,-0.05371349
2012-01-01,-0.018183062
2012-02-01,0.020725802
2012-03-01,0.046827875
2012-04-01,0.058216065
2012-05-01,0.045063064
2012-06-01,0.033838976
2012-07-01,0.015115429
2012-08-01,-0.012570449
2012-09-01,-0.04773374
2012-10-01,-0.07452245
2012-11-01,-0.07180035
2012-12-01,-0.048229825
2013-01-01,-0.008345539
2013-02-01,0.03644913
2013-03-01,0.06422393
2013-04-01,0.07774842
2013-05-01,0.06894955
2013-06-01,0.050143216
2013-07-01,0.020333493
2013-08-01,-0.014678895
2013-09-01,-0.052071474
2013-10-01,-0.07489928
2013-11-01,-0.072312385
2013-12-01,-0.054109026
2014-01-01,-0.015100685
2014-02-01,0.030404132
2014-03-01,0.0617555
2014-04-01,0.077326514
2014-05-01,0.05934783
2014-06-01,0.03953099
2014-07-01,0.0069091204
2014-08-01,-0.025554309
2014-09-01,-0.0608423
2014-10-01,-0.08561504
2014-11-01,-0.08167888
2014-12-01,-0.05053791
2015-01-01,-0.005952865
2015-02-01,0.0442973
2015-03-01,0.073686585
2015-04-01,0.08801037
2015-05-01,0.07582353
2015-06-01,0.054954793
2015-07-01,0.018617507
2015-08-01,-0.020063883
2015-09-01,-0.05459895
2015-10-01,-0.080065556
2015-11-01,-0.077550545
2015-12-01,-0.05822809
2016-01-01,-0.02645909
2016-02-01,0.010811936
2016-03-01,0.03758271
2016-04-01,0.05007903
2016-05-01,0.04177872
2016-06-01,0.028008906
2016-07-01,0.016816946
2016-08-01,0.00069154537
2016-09-01,-0.012818278
2016-10-01,-0.023182094
2016-11-01,-0.01926996
