Date,Close
19/10/2021,2.451
20/10/2021,2.467
21/10/2021,2.445
22/10/2021,2.4515
25/10/2021,2.463
26/10/2021,2.4815
27/10/2021,2.453
28/10/2021,2.438
29/10/2021,2.4575
01/11/2021,2.495
02/11/2021,2.512
03/11/2021,2.502
04/11/2021,2.4565
05/11/2021,2.4835
08/11/2021,2.4925
09/11/2021,2.4705
10/11/2021,2.477
11/11/2021,2.472
12/11/2021,2.4715
15/11/2021,2.49
16/11/2021,2.4825
17/11/2021,2.482
18/11/2021,2.467
19/11/2021,2.384
22/11/2021,2.327
23/11/2021,2.302
24/11/2021,2.3025
25/11/2021,2.288
26/11/2021,2.1565
29/11/2021,2.143
30/11/2021,2.1155
01/12/2021,2.1685
02/12/2021,2.1475
03/12/2021,2.1465
06/12/2021,2.213
07/12/2021,2.258
08/12/2021,2.231
09/12/2021,2.225
10/12/2021,2.2155
13/12/2021,2.205
14/12/2021,2.2245
15/12/2021,2.2015
16/12/2021,2.2425
17/12/2021,2.2055
20/12/2021,2.182
21/12/2021,2.2325
22/12/2021,2.2305
23/12/2021,2.251
27/12/2021,2.2625
28/12/2021,2.2835
29/12/2021,2.277
30/12/2021,2.274
03/01/2022,2.345
04/01/2022,2.394
05/01/2022,2.418
06/01/2022,2.433
07/01/2022,2.4515
10/01/2022,2.463
11/01/2022,2.482
12/01/2022,2.5455
13/01/2022,2.5605
14/01/2022,2.562
17/01/2022,2.5775
18/01/2022,2.575
19/01/2022,2.534
20/01/2022,2.5515
21/01/2022,2.552
24/01/2022,2.4665
25/01/2022,2.489
26/01/2022,2.5645
27/01/2022,2.6125
28/01/2022,2.597
31/01/2022,2.6195
01/02/2022,2.67
02/02/2022,2.697
03/02/2022,2.728
04/02/2022,2.667
07/02/2022,2.715
08/02/2022,2.7695
09/02/2022,2.8535
10/02/2022,2.92
11/02/2022,2.8535
14/02/2022,2.7675
15/02/2022,2.853
16/02/2022,2.791
17/02/2022,2.739
18/02/2022,2.722
21/02/2022,2.674
22/02/2022,2.66
23/02/2022,2.6205
24/02/2022,2.412
25/02/2022,2.4775
28/02/2022,2.2935
01/03/2022,2.1165
02/03/2022,2.146
03/03/2022,2.084
04/03/2022,1.8962
07/03/2022,1.8432
08/03/2022,1.8656
09/03/2022,2.0725
10/03/2022,1.9148
11/03/2022,1.9194
14/03/2022,1.99
15/03/2022,2.008
16/03/2022,2.148
17/03/2022,2.072
18/03/2022,2.086
21/03/2022,2.0665
22/03/2022,2.1
23/03/2022,2.048
24/03/2022,2.031
25/03/2022,2.033
28/03/2022,2.0445
29/03/2022,2.161
30/03/2022,2.134
31/03/2022,2.0835
01/04/2022,2.105
04/04/2022,2.095
05/04/2022,2.042
06/04/2022,1.9822
07/04/2022,1.9516
08/04/2022,1.982
11/04/2022,1.9808
12/04/2022,1.9412
13/04/2022,1.9442
14/04/2022,1.971
19/04/2022,1.973
20/04/2022,2.0205
21/04/2022,2.025
22/04/2022,1.9828
25/04/2022,1.9486
26/04/2022,1.918
27/04/2022,1.9208
28/04/2022,1.926
29/04/2022,1.9548
02/05/2022,1.9224
03/05/2022,1.9602
04/05/2022,1.9252
05/05/2022,1.9246
06/05/2022,1.88
09/05/2022,1.83
10/05/2022,1.8616
11/05/2022,1.94
12/05/2022,1.9622
13/05/2022,1.9724
16/05/2022,1.9544
17/05/2022,1.99
18/05/2022,1.9904
19/05/2022,1.988
20/05/2022,1.983
23/05/2022,1.9752
24/05/2022,1.9792
25/05/2022,2.033
26/05/2022,2.0515
27/05/2022,2.047
30/05/2022,2.0595
31/05/2022,2.0305
01/06/2022,2
02/06/2022,2
03/06/2022,1.973
06/06/2022,2.0375
07/06/2022,2.0025
08/06/2022,1.99
09/06/2022,1.9668
10/06/2022,1.8216
13/06/2022,1.759
14/06/2022,1.77
15/06/2022,1.8514
16/06/2022,1.793
17/06/2022,1.8036
20/06/2022,1.8726
21/06/2022,1.886
22/06/2022,1.8806
23/06/2022,1.84
24/06/2022,1.8822
27/06/2022,1.8934
28/06/2022,1.8986
29/06/2022,1.876
30/06/2022,1.78
01/07/2022,1.7676
04/07/2022,1.7252
05/07/2022,1.6714
06/07/2022,1.6782
07/07/2022,1.7452
08/07/2022,1.7626
11/07/2022,1.732
12/07/2022,1.7076
13/07/2022,1.7008
14/07/2022,1.6066
15/07/2022,1.632
18/07/2022,1.674
19/07/2022,1.7726
20/07/2022,1.7104
21/07/2022,1.663
22/07/2022,1.66
25/07/2022,1.688
26/07/2022,1.6568
27/07/2022,1.6772
28/07/2022,1.7058
29/07/2022,1.7286
01/08/2022,1.7492
02/08/2022,1.747
03/08/2022,1.7738
04/08/2022,1.783
05/08/2022,1.814
08/08/2022,1.8172
09/08/2022,1.816
10/08/2022,1.8326
11/08/2022,1.84
12/08/2022,1.8538
16/08/2022,1.8548
17/08/2022,1.8286
18/08/2022,1.827
19/08/2022,1.7732
22/08/2022,1.7184
23/08/2022,1.7496
24/08/2022,1.7636
25/08/2022,1.7384
26/08/2022,1.685
29/08/2022,1.7014
30/08/2022,1.7294
31/08/2022,1.723
01/09/2022,1.6938
02/09/2022,1.7382
05/09/2022,1.697
06/09/2022,1.7038
07/09/2022,1.7
08/09/2022,1.7404
09/09/2022,1.8332
12/09/2022,1.896
13/09/2022,1.8812
14/09/2022,1.9002
15/09/2022,1.92
16/09/2022,1.915
19/09/2022,1.9154
20/09/2022,1.8492
21/09/2022,1.8366
